Id,NightDuration,Weather,NewYear,Holliday,Sunday,Saturday,CovidCases,Target
4238,947,-7.3,0.0,0.0,0,0,0.0,780824.0
4239,942,-11.5,0.0,0.0,0,0,0.0,775914.0
4240,938,-16.3,0.0,0.0,0,0,0.0,786665.0
4241,934,-13.8,0.0,0.0,0,0,0.0,780550.0
4242,929,-11.8,0.0,0.0,0,0,0.0,783017.0
4243,925,-11.8,0.0,0.0,0,1,0.0,757489.0
4244,919,-9.9,0.0,0.0,1,0,0.0,747108.0
4245,915,-8.2,0.0,0.0,0,0,0.0,774810.0
4246,911,-8.5,0.0,0.0,0,0,0.0,774735.0
4247,905,-15.5,0.0,0.0,0,0,0.0,780286.0
4248,901,-13.3,0.0,0.0,0,0,0.0,781325.0
4249,896,-11.0,0.0,0.0,0,0,0.0,776792.0
4250,891,-16.0,0.0,0.0,0,1,0.0,759504.0
4251,887,-19.5,0.0,0.0,1,0,0.0,761325.0
4252,881,-19.4,0.0,0.0,0,0,0.0,792694.0
4253,877,-15.6,0.0,0.0,0,0,0.0,785893.0
4254,872,-17.2,0.0,0.0,0,0,0.0,788485.0
4255,867,-20.9,0.0,0.0,0,0,0.0,792184.0
4256,862,-21.8,0.0,0.0,0,0,0.0,798467.0
4257,857,-23.8,0.0,0.0,0,1,0.0,781010.0
4258,852,-26.6,0.0,0.0,1,0,0.0,777934.0
4259,847,-26.4,0.0,0.0,0,0,0.0,803967.0
4260,842,-25.0,0.0,0.0,0,0,0.0,800852.0
4261,838,-20.3,0.0,1.0,0,0,0.0,769885.0
4262,832,-15.4,0.0,0.0,0,0,0.0,786669.0
4263,827,-18.2,0.0,0.0,0,0,0.0,789938.0
4264,823,-17.6,0.0,0.0,0,1,0.0,767944.0
4265,817,-17.7,0.0,0.0,1,0,0.0,756692.0
4266,812,-17.2,0.0,0.0,0,0,0.0,781389.0
4267,808,-16.3,0.0,0.0,0,0,0.0,775991.0
4268,802,-16.2,0.0,0.0,0,0,0.0,774006.0
4269,797,-14.5,0.0,0.0,0,0,0.0,764079.0
4270,792,-14.3,0.0,0.0,0,0,0.0,767486.0
4271,787,-15.0,0.0,0.0,0,0,0.0,762066.0
4272,782,-10.0,0.0,0.0,1,0,0.0,736423.0
4273,777,-4.3,0.0,1.0,0,0,0.0,724023.0
4274,772,-8.6,0.0,1.0,0,0,0.0,720204.0
4275,767,-7.8,0.0,0.0,0,0,0.0,746759.0
4276,762,-6.1,0.0,0.0,0,0,0.0,736696.0
4277,757,-7.4,0.0,0.0,0,0,0.0,743231.0
4278,751,-7.2,0.0,0.0,0,1,0.0,724911.0
4279,746,-6.8,0.0,0.0,1,0,0.0,714764.0
4280,742,-6.2,0.0,0.0,0,0,0.0,736771.0
4281,737,-4.7,0.0,0.0,0,0,0.0,731044.0
4282,731,-1.7,0.0,0.0,0,0,0.0,729821.0
4283,726,-1.6,0.0,0.0,0,0,0.0,726501.0
